"情景","问题","目的","配图"
"Reuniting with a close friend after a long separation: Imagine leaving a station with your luggage on a weekday evening. In the crowd, you suddenly hear someone call you by a childhood nickname. You turn around and see a once-close friend whom you have not met for years. Neither of you expected the other to be there. Put yourself in the following moments in order.","Segment 1: You turn around before you have fully understood what is happening. Your friend has already recognized you and is walking quickly toward you with a smile. Show your expression as hesitation gives way to recognition.","Joyful smile｜Surprised smile: Unexpected recognition and a positive reunion are intended to evoke a brief, rapidly emerging expression of genuine pleasure.","illustrations/scene_001_reunion.png"
"Reuniting with a close friend after a long separation: Imagine leaving a station with your luggage on a weekday evening. In the crowd, you suddenly hear someone call you by a childhood nickname. You turn around and see a once-close friend whom you have not met for years. Neither of you expected the other to be there. Put yourself in the following moments in order.","Segment 2: Your friend stops in front of you, says, “It really is you. It’s been so long,” and naturally opens their arms. Show your expression as you respond to the reunion.","Joyful smile｜Open, delighted smile: Feeling welcomed after a long separation is intended to evoke a clear, open expression of happiness.","illustrations/scene_001_reunion.png"
"Reuniting with a close friend after a long separation: Imagine leaving a station with your luggage on a weekday evening. In the crowd, you suddenly hear someone call you by a childhood nickname. You turn around and see a once-close friend whom you have not met for years. Neither of you expected the other to be there. Put yourself in the following moments in order.","Segment 3: As you walk out of the station together, you compare how each of you has changed. Your friend says that one of your familiar mannerisms has not changed at all. Show your expression as you hear this.","Gentle smile｜Warm, familiar smile: Being remembered through a familiar detail is intended to evoke a warm smile that conveys closeness.","illustrations/scene_001_reunion.png"
"Reuniting with a close friend after a long separation: Imagine leaving a station with your luggage on a weekday evening. In the crowd, you suddenly hear someone call you by a childhood nickname. You turn around and see a once-close friend whom you have not met for years. Neither of you expected the other to be there. Put yourself in the following moments in order.","Segment 4: Your friend brings up something silly you did together as students and imitates the way you acted at the time. Show your expression as the memory returns.","Joyful smile｜Hearty smile: A shared memory and a live imitation are intended to evoke a broad smile shared with the other person.","illustrations/scene_001_reunion.png"
"Reuniting with a close friend after a long separation: Imagine leaving a station with your luggage on a weekday evening. In the crowd, you suddenly hear someone call you by a childhood nickname. You turn around and see a once-close friend whom you have not met for years. Neither of you expected the other to be there. Put yourself in the following moments in order.","Segment 5: Your friend says sincerely that when they moved away, you were the person they missed most, but they never found the courage to get in touch. Show your expression as you hear this.","Gentle smile｜Touched smile: A long-delayed expression of sincerity is intended to evoke a soft, emotionally moved smile.","illustrations/scene_001_reunion.png"
"Reuniting with a close friend after a long separation: Imagine leaving a station with your luggage on a weekday evening. In the crowd, you suddenly hear someone call you by a childhood nickname. You turn around and see a once-close friend whom you have not met for years. Neither of you expected the other to be there. Put yourself in the following moments in order.","Segment 6: Your friend notices that you have been looking at them and teases, “What’s wrong? Has it been so long that you don’t recognize me?” Show your expression as you are caught looking and briefly avert your gaze.","Shy smile｜Bashful smile: Having one’s gaze noticed and being teased kindly are intended to evoke a restrained smile with gaze aversion.","illustrations/scene_001_reunion.png"
"Reuniting with a close friend after a long separation: Imagine leaving a station with your luggage on a weekday evening. In the crowd, you suddenly hear someone call you by a childhood nickname. You turn around and see a once-close friend whom you have not met for years. Neither of you expected the other to be there. Put yourself in the following moments in order.","Segment 7: Before you part, your friend suddenly suggests finding somewhere to talk that evening and excitedly starts contacting mutual friends. Show your expression when you realize the reunion will continue.","Joyful smile｜Anticipatory smile: The prospect of extending a happy encounter is intended to evoke a light, sustained smile of anticipation.","illustrations/scene_001_reunion.png"
"Dinner with a close friend you have not seen for a long time: Imagine meeting at a quiet casual restaurant with a friend who was once very close to you but whom work and distance have kept you from seeing. The conversation is slightly awkward at first, then gradually returns to its familiar rhythm. Put yourself in the following moments in order.","Segment 1: You recall something silly you did together as students. Your friend adds a detail you had nearly forgotten, and both of you become increasingly animated. Show your expression while remembering and listening.","Joyful smile｜Genuine smile: A funny shared memory and lively reciprocal conversation are intended to evoke a natural smile of shared enjoyment.","illustrations/scene_002_old_friend_dinner.png"
"Dinner with a close friend you have not seen for a long time: Imagine meeting at a quiet casual restaurant with a friend who was once very close to you but whom work and distance have kept you from seeing. The conversation is slightly awkward at first, then gradually returns to its familiar rhythm. Put yourself in the following moments in order.","Segment 2: The conversation shifts to your current life. You describe recurring problems at work that you still cannot resolve. As you say, “I deal with them every day, but it feels as if I’m still in the same place,” show the helpless smile that appears while you talk.","Bittersweet smile｜Resigned smile: The conflict between sustained effort and a lack of control is intended to evoke a tired, helpless smile.","illustrations/scene_002_old_friend_dinner.png"
"Dinner with a close friend you have not seen for a long time: Imagine meeting at a quiet casual restaurant with a friend who was once very close to you but whom work and distance have kept you from seeing. The conversation is slightly awkward at first, then gradually returns to its familiar rhythm. Put yourself in the following moments in order.","Segment 3: Your friend starts talking about recent events in their life. The content is not especially funny, but they speak with great enthusiasm and keep looking at you to make sure you are listening. Show the expression with which you respond as a familiar listener.","Social smile｜Supportive social smile: Listening attentively and maintaining the interaction are intended to evoke a mild, accommodating smile.","illustrations/scene_002_old_friend_dinner.png"
"Dinner with a close friend you have not seen for a long time: Imagine meeting at a quiet casual restaurant with a friend who was once very close to you but whom work and distance have kept you from seeing. The conversation is slightly awkward at first, then gradually returns to its familiar rhythm. Put yourself in the following moments in order.","Segment 4: You tell a story about a mutual friend. At the crucial moment, you deliberately stop, look at your friend, and say, “Guess what happened next.” Show your expression as you leave them in suspense.","Sly smile｜Knowing, playful smile: Knowing the ending while withholding it is intended to evoke a playful smile that builds suspense.","illustrations/scene_002_old_friend_dinner.png"
"Dinner with a close friend you have not seen for a long time: Imagine meeting at a quiet casual restaurant with a friend who was once very close to you but whom work and distance have kept you from seeing. The conversation is slightly awkward at first, then gradually returns to its familiar rhythm. Put yourself in the following moments in order.","Segment 5: You complain about someone who often takes credit and shifts blame. As you say, “How can someone like that still act as if they’re completely justified?” show the expression with which you look at your friend and continue.","Derisive smile｜Disdainful smile: Disapproval and contempt toward the behavior of an imagined person are intended to evoke a derisive smile.","illustrations/scene_002_old_friend_dinner.png"
"Dinner with a close friend you have not seen for a long time: Imagine meeting at a quiet casual restaurant with a friend who was once very close to you but whom work and distance have kept you from seeing. The conversation is slightly awkward at first, then gradually returns to its familiar rhythm. Put yourself in the following moments in order.","Segment 6: Instead of immediately giving advice, your friend says, “It sounds as if you’ve been carrying this for a long time.” Show your expression when you realize they understand your situation.","Gentle smile｜Smile of being understood: Feeling emotionally understood by a close friend is intended to evoke a relaxed, grateful smile.","illustrations/scene_002_old_friend_dinner.png"
"Dinner with a close friend you have not seen for a long time: Imagine meeting at a quiet casual restaurant with a friend who was once very close to you but whom work and distance have kept you from seeing. The conversation is slightly awkward at first, then gradually returns to its familiar rhythm. Put yourself in the following moments in order.","Segment 7: After dinner, you reach an intersection and realize it may again be a long time before you meet. Your friend says lightly, “Let’s not let another few years pass.” Show your expression as you respond to this farewell.","Bittersweet smile｜Wistful smile: The pleasure of reunion combined with another separation is intended to evoke a smile tinged with reluctance to part.","illustrations/scene_002_old_friend_dinner.png"
"Unexpectedly meeting someone who recognizes you, although you cannot place them: Imagine waiting in line for coffee at a shopping mall. Someone around your age suddenly calls you by name and greets you like an old acquaintance. You are sure you have met them, but you cannot remember their name or where you know them from. Put yourself in the following moments in order.","Segment 1: The person naturally says, “It’s been a long time.” You instinctively return the greeting while rapidly searching your memory. Show your expression at that moment.","Social smile｜Automatic polite smile: The need to respond immediately to an unexpected greeting is intended to evoke a conventional polite smile.","illustrations/scene_003_unrecognized_acquaintance.png"
