情景,片段序号,说明,发言,目的,配图
久しぶりに親友と再会する場面：平日の夕方、荷物を引いて駅を出ようとしていると、混雑した人の中から突然、子どもの頃のあだ名で呼ばれたと想像してください。振り返ると、何年も会っていなかった、かつてとても親しかった友人がいます。二人とも、相手がそこにいるとは知りませんでした。続いて表示される説明と発話に応じて、そのときの自然な表情をしてください。,1,振り返ったばかりで、まだ相手が誰なのか確信できていません。相手はすでに足早に近づいてきています。,あ、本当に君だ！一瞬、人違いだったらどうしようって心配したよ。,喜びの笑顔｜驚きの笑顔：予期しない相手の認識と嬉しい再会によって、短時間で自然に生じる喜びの表情を引き出します。,illustrations/scene_001_reunion.png
久しぶりに親友と再会する場面：平日の夕方、荷物を引いて駅を出ようとしていると、混雑した人の中から突然、子どもの頃のあだ名で呼ばれたと想像してください。振り返ると、何年も会っていなかった、かつてとても親しかった友人がいます。二人とも、相手がそこにいるとは知りませんでした。続いて表示される説明と発話に応じて、そのときの自然な表情をしてください。,2,友人はあなたの前で立ち止まり、自然に両腕を広げて改めて挨拶しようとしています。,本当に君なんだね。久しぶり！この何年も、元気にしているかなってずっと気になってた。,喜びの笑顔｜晴れやかな笑顔：長い別離の後に歓迎される感覚によって、はっきりと開かれた喜びの表情を引き出します。,illustrations/scene_001_reunion.png
久しぶりに親友と再会する場面：平日の夕方、荷物を引いて駅を出ようとしていると、混雑した人の中から突然、子どもの頃のあだ名で呼ばれたと想像してください。振り返ると、何年も会っていなかった、かつてとても親しかった友人がいます。二人とも、相手がそこにいるとは知りませんでした。続いて表示される説明と発話に応じて、そのときの自然な表情をしてください。,3,二人で駅の出口へ向かっています。友人は、あなたが話すときの懐かしい癖に気づきました。,昔と変わらないね。話すときのその仕草、今もそのままだ。,優しい笑顔｜親しみのある温かな笑顔：懐かしい細部を覚えていてもらうことで、親近感を伴う温かな笑顔を引き出します。,illustrations/scene_001_reunion.png
久しぶりに親友と再会する場面：平日の夕方、荷物を引いて駅を出ようとしていると、混雑した人の中から突然、子どもの頃のあだ名で呼ばれたと想像してください。振り返ると、何年も会っていなかった、かつてとても親しかった友人がいます。二人とも、相手がそこにいるとは知りませんでした。続いて表示される説明と発話に応じて、そのときの自然な表情をしてください。,4,学生時代の話をしていると、友人が二人でやった昔の失敗を突然思い出しました。,雨宿りするために、二人で壊れた電話ボックスに入ったこと、まだ覚えてる？,喜びの笑顔｜朗らかな笑顔：共有する思い出とその場での物まねによって、大きく表れる共有の笑顔を引き出します。,illustrations/scene_001_reunion.png
久しぶりに親友と再会する場面：平日の夕方、荷物を引いて駅を出ようとしていると、混雑した人の中から突然、子どもの頃のあだ名で呼ばれたと想像してください。振り返ると、何年も会っていなかった、かつてとても親しかった友人がいます。二人とも、相手がそこにいるとは知りませんでした。続いて表示される説明と発話に応じて、そのときの自然な表情をしてください。,5,友人はしばらく黙った後、引っ越した当時の気持ちを真剣な口調で話し始めます。,実は引っ越したとき、一番離れたくなかったのは君だった。でも、その後ずっと連絡する勇気が出なかったんだ。,優しい笑顔｜感動した笑顔：遅れて伝えられた誠実な気持ちによって、感動を伴う柔らかな笑顔を引き出します。,illustrations/scene_001_reunion.png
久しぶりに親友と再会する場面：平日の夕方、荷物を引いて駅を出ようとしていると、混雑した人の中から突然、子どもの頃のあだ名で呼ばれたと想像してください。振り返ると、何年も会っていなかった、かつてとても親しかった友人がいます。二人とも、相手がそこにいるとは知りませんでした。続いて表示される説明と発話に応じて、そのときの自然な表情をしてください。,6,何年ぶりかに会った友人をあなたがじっと見ていることに、相手が気づいて冗談を言います。,さっきからどうしてそんなに見てるの？何年も会ってなかったから、本当に僕のことが分からなくなった？,はにかみ笑い｜照れ笑い：視線に気づかれ、好意的にからかわれることで、視線をそらす控えめな笑顔を引き出します。,illustrations/scene_001_reunion.png
久しぶりに親友と再会する場面：平日の夕方、荷物を引いて駅を出ようとしていると、混雑した人の中から突然、子どもの頃のあだ名で呼ばれたと想像してください。振り返ると、何年も会っていなかった、かつてとても親しかった友人がいます。二人とも、相手がそこにいるとは知りませんでした。続いて表示される説明と発話に応じて、そのときの自然な表情をしてください。,7,駅の出口で、友人は昔の共通の友人たちに連絡しようとスマートフォンを取り出します。,今日はまだ帰らないで、どこかでゆっくり話そうよ。昔のみんなにも声をかけてみる。,喜びの笑顔｜期待の笑顔：楽しい時間がこの先も続くという期待によって、軽やかで持続する笑顔を引き出します。,illustrations/scene_001_reunion.png
久しぶりの親友と食事をする場面：かつてとても親しかったものの、仕事や距離のため最近はほとんど会えない友人と、静かな飲食店で食事をしていると想像してください。最初は少しよそよそしいものの、会話は徐々に以前の親しい調子へ戻っていきます。続いて表示される説明と発話に応じて、そのときの自然な表情をしてください。,1,学生時代に一緒にした失敗を話していると、友人があなたの忘れていた細部を思い出します。,覚えてないの？先生には絶対ばれないって真面目な顔で言ってたのに、最初に呼び出されたのは君だったよ。,喜びの笑顔｜心からの笑顔：面白い共通の思い出と活発なやり取りによって、自然で共有された笑顔を引き出します。,illustrations/scene_002_old_friend_dinner.png
久しぶりの親友と食事をする場面：かつてとても親しかったものの、仕事や距離のため最近はほとんど会えない友人と、静かな飲食店で食事をしていると想像してください。最初は少しよそよそしいものの、会話は徐々に以前の親しい調子へ戻っていきます。続いて表示される説明と発話に応じて、そのときの自然な表情をしてください。,2,話題があなたの仕事に移ります。友人は、同じ問題への対応が長く続いていることを知っています。,その件、もうずいぶん長く対応してるんじゃない？毎日やっているのに、まだ同じ場所にいるみたいでつらそうだね。,苦笑｜やるせない苦笑：努力を続けても状況を制御できないという葛藤によって、疲れを伴う苦笑を引き出します。,illustrations/scene_002_old_friend_dinner.png
久しぶりの親友と食事をする場面：かつてとても親しかったものの、仕事や距離のため最近はほとんど会えない友人と、静かな飲食店で食事をしていると想像してください。最初は少しよそよそしいものの、会話は徐々に以前の親しい調子へ戻っていきます。続いて表示される説明と発話に応じて、そのときの自然な表情をしてください。,3,友人が最近の出来事を話し始めます。特別に面白い内容ではありませんが、本人は熱心で、あなたが聞いているか何度も確かめます。,最近は毎日同じプロジェクトの対応ばかりで、細かい話なんだけど、最初から全部聞いてほしいんだ。,社交的な笑顔｜聞き手としての微笑み：相手の話を聞き、やり取りを保つ必要によって、穏やかで協調的な笑顔を引き出します。,illustrations/scene_002_old_friend_dinner.png
久しぶりの親友と食事をする場面：かつてとても親しかったものの、仕事や距離のため最近はほとんど会えない友人と、静かな飲食店で食事をしていると想像してください。最初は少しよそよそしいものの、会話は徐々に以前の親しい調子へ戻っていきます。続いて表示される説明と発話に応じて、そのときの自然な表情をしてください。,4,共通の友人に起きた面白い話を、あなたは一番大事なところでわざと止めました。,それで、どうなったの？そこで止めないで、最後まで教えてよ。,いたずらっぽい笑い｜意味ありげな笑顔：結末を知りながらすぐには明かさない情報差によって、遊び心のある笑顔を引き出します。,illustrations/scene_002_old_friend_dinner.png
