"情景","问题","目的","配图"
"和久违的好朋友重逢：请想象一个工作日傍晚，你拖着行李走出车站，在拥挤的人群里突然听见有人叫你小时候的昵称。你回头发现是多年没有见、过去关系很好的朋友。你们事先都不知道对方会出现在这里。请按顺序代入以下片段。","片段1：你刚回头时还没有完全反应过来；对方已经认出你，笑着快步朝你走来。请呈现从迟疑到确认是好友的瞬间表情。","愉悦型笑｜惊喜笑：利用意外识别与积极重逢，诱发短暂、迅速出现的真实愉悦。","illustrations/scene_001_reunion.png"
"和久违的好朋友重逢：请想象一个工作日傍晚，你拖着行李走出车站，在拥挤的人群里突然听见有人叫你小时候的昵称。你回头发现是多年没有见、过去关系很好的朋友。你们事先都不知道对方会出现在这里。请按顺序代入以下片段。","片段2：对方站到你面前，说“真的是你，好久不见”，并自然地张开双臂。请呈现你回应这次重逢时的表情。","愉悦型笑｜开怀笑：利用被欢迎感和长期分离后的重逢，诱发开放、明显的笑。","illustrations/scene_001_reunion.png"
"和久违的好朋友重逢：请想象一个工作日傍晚，你拖着行李走出车站，在拥挤的人群里突然听见有人叫你小时候的昵称。你回头发现是多年没有见、过去关系很好的朋友。你们事先都不知道对方会出现在这里。请按顺序代入以下片段。","片段3：你们一边往车站外走，一边确认彼此这些年的变化；对方说你说话时的小动作一点都没变。请呈现你听到这句话时的表情。","温柔型笑｜亲近暖笑：利用熟悉细节被记住，诱发带亲近感的温暖笑容。","illustrations/scene_001_reunion.png"
"和久违的好朋友重逢：请想象一个工作日傍晚，你拖着行李走出车站，在拥挤的人群里突然听见有人叫你小时候的昵称。你回头发现是多年没有见、过去关系很好的朋友。你们事先都不知道对方会出现在这里。请按顺序代入以下片段。","片段4：对方提到你们学生时代共同做过的一件傻事，还模仿了当时你的样子。请呈现记忆被重新唤起时的表情。","愉悦型笑｜爽朗笑：利用共同回忆和现场模仿，诱发幅度较大的共享笑。","illustrations/scene_001_reunion.png"
"和久违的好朋友重逢：请想象一个工作日傍晚，你拖着行李走出车站，在拥挤的人群里突然听见有人叫你小时候的昵称。你回头发现是多年没有见、过去关系很好的朋友。你们事先都不知道对方会出现在这里。请按顺序代入以下片段。","片段5：对方认真说，当年搬走以后最舍不得的就是你，却一直没有好意思联系。请呈现你听到这段话时的表情。","温柔型笑｜感动暖笑：利用迟来的真诚表达，诱发感动、柔和的笑。","illustrations/scene_001_reunion.png"
"和久违的好朋友重逢：请想象一个工作日傍晚，你拖着行李走出车站，在拥挤的人群里突然听见有人叫你小时候的昵称。你回头发现是多年没有见、过去关系很好的朋友。你们事先都不知道对方会出现在这里。请按顺序代入以下片段。","片段6：对方忽然注意到你一直在看他，打趣道“怎么，几年没见不认识我了？”请呈现被点破后短暂移开目光的表情。","羞涩型笑｜腼腆笑：利用目光被察觉和善意打趣，诱发回避目光、略克制的笑。","illustrations/scene_001_reunion.png"
"和久违的好朋友重逢：请想象一个工作日傍晚，你拖着行李走出车站，在拥挤的人群里突然听见有人叫你小时候的昵称。你回头发现是多年没有见、过去关系很好的朋友。你们事先都不知道对方会出现在这里。请按顺序代入以下片段。","片段7：分别前，对方临时提议今晚就找地方好好聊聊，并开始兴奋地联系共同朋友。请呈现你意识到重逢还会继续时的表情。","愉悦型笑｜期待笑：利用快乐活动即将延续，诱发轻快、持续的期待笑。","illustrations/scene_001_reunion.png"
"和久违的好友聚餐：请想象你与一位曾经非常亲近、现在因工作和距离很少见面的好友在安静的小餐馆吃饭。最初略有生疏，但聊天慢慢回到过去熟悉的节奏。请按顺序代入以下片段。","片段1：你们聊起学生时代一起做过的傻事，对方补充了一个你几乎忘记的细节，两个人越说越起劲。请呈现你边回忆边听他说时的表情。","愉悦型笑｜真心笑：利用共同的有趣记忆与同步交流，诱发自然、共享的笑。","illustrations/scene_002_old_friend_dinner.png"
"和久违的好友聚餐：请想象你与一位曾经非常亲近、现在因工作和距离很少见面的好友在安静的小餐馆吃饭。最初略有生疏，但聊天慢慢回到过去熟悉的节奏。请按顺序代入以下片段。","片段2：话题转到近况。你向好友说起最近工作里反复出现、自己又暂时解决不了的问题；说到“每天都在处理，但好像还是原地踏步”时，请呈现你一边诉说、一边无奈笑出来的表情。","苦涩型笑｜无奈苦笑：利用长期努力与缺乏控制感的冲突，诱发带疲惫的苦笑。","illustrations/scene_002_old_friend_dinner.png"
"和久违的好友聚餐：请想象你与一位曾经非常亲近、现在因工作和距离很少见面的好友在安静的小餐馆吃饭。最初略有生疏，但聊天慢慢回到过去熟悉的节奏。请按顺序代入以下片段。","片段3：好友开始讲他的近况，内容并不特别好笑，但他讲得很投入、滔滔不绝，还不时看向你确认你在听。请呈现你作为熟悉听众回应他的表情。","社交型笑｜陪伴式礼貌笑：利用倾听和维持互动的需要，诱发温和、配合性的笑。","illustrations/scene_002_old_friend_dinner.png"
"和久违的好友聚餐：请想象你与一位曾经非常亲近、现在因工作和距离很少见面的好友在安静的小餐馆吃饭。最初略有生疏，但聊天慢慢回到过去熟悉的节奏。请按顺序代入以下片段。","片段4：轮到你讲一位共同好友最近发生的趣事。你讲到最关键的地方故意停下来，看着对方说“你猜后来怎么了”。请呈现卖关子时的表情。","狡黠型笑｜意味深长的坏笑：利用掌握结局而暂不揭示的信息差，诱发调皮、吊胃口的笑。","illustrations/scene_002_old_friend_dinner.png"
"和久违的好友聚餐：请想象你与一位曾经非常亲近、现在因工作和距离很少见面的好友在安静的小餐馆吃饭。最初略有生疏，但聊天慢慢回到过去熟悉的节奏。请按顺序代入以下片段。","片段5：你开始吐槽一个经常抢功、又把责任推给别人的人，说到“那种人凭什么还能装得理直气壮”时，请呈现你看向好友、带着不认同继续讲述的表情。","讥讽型笑｜不屑一笑：利用对虚构对象行为的否定和轻蔑，诱发不屑、讥讽性的笑。","illustrations/scene_002_old_friend_dinner.png"
"和久违的好友聚餐：请想象你与一位曾经非常亲近、现在因工作和距离很少见面的好友在安静的小餐馆吃饭。最初略有生疏，但聊天慢慢回到过去熟悉的节奏。请按顺序代入以下片段。","片段6：好友没有急着给建议，只是说“听起来你真的撑了很久”。请呈现你发现对方理解了你的处境时的表情。","温柔型笑｜被理解的暖笑：利用被熟人接住情绪的体验，诱发放松、带感谢的笑。","illustrations/scene_002_old_friend_dinner.png"
"和久违的好友聚餐：请想象你与一位曾经非常亲近、现在因工作和距离很少见面的好友在安静的小餐馆吃饭。最初略有生疏，但聊天慢慢回到过去熟悉的节奏。请按顺序代入以下片段。","片段7：饭后走到路口，你们发现下一次见面可能又要等很久。好友故作轻松地说“别又一转眼几年”。请呈现你回应这句告别话时的表情。","苦涩型笑｜心酸笑：利用重逢的快乐与再次分别并存，诱发含不舍的笑。","illustrations/scene_002_old_friend_dinner.png"
"意外遇到认识你、但你认不出的人：请想象你在商场排队买咖啡，一位与你年龄相近的人突然准确叫出你的名字，像老熟人一样向你打招呼。你确定见过对方，却完全想不起姓名和认识的场合。请按顺序代入以下片段。","片段1：对方自然地说“好久不见”，你下意识先回应了招呼，但脑中仍在快速搜索记忆。请呈现这一瞬间的表情。","社交型笑｜自动礼貌笑：利用突然被问候和需要即时回应的压力，诱发礼节性笑。","illustrations/scene_003_unrecognized_acquaintance.png"
"意外遇到认识你、但你认不出的人：请想象你在商场排队买咖啡，一位与你年龄相近的人突然准确叫出你的名字，像老熟人一样向你打招呼。你确定见过对方，却完全想不起姓名和认识的场合。请按顺序代入以下片段。","片段2：对方问“你还在原来的地方工作吗”，显然记得你的近况；你只能先用较笼统的回答继续对话。请呈现你试图不让对方难堪时的表情。","社交型笑｜维持性陪笑：利用信息不对称和维持互动的需要，诱发克制的社交笑。","illustrations/scene_003_unrecognized_acquaintance.png"
"意外遇到认识你、但你认不出的人：请想象你在商场排队买咖啡，一位与你年龄相近的人突然准确叫出你的名字，像老熟人一样向你打招呼。你确定见过对方，却完全想不起姓名和认识的场合。请按顺序代入以下片段。","片段3：对方看着你的迟疑，说“你不会不记得我了吧”。请呈现被直接点破、短暂低头或移开目光时的表情。","羞涩型笑｜尴尬腼腆笑：利用记忆失败被公开识别，诱发回避目光和抿嘴笑。","illustrations/scene_003_unrecognized_acquaintance.png"
"意外遇到认识你、但你认不出的人：请想象你在商场排队买咖啡，一位与你年龄相近的人突然准确叫出你的名字，像老熟人一样向你打招呼。你确定见过对方，却完全想不起姓名和认识的场合。请按顺序代入以下片段。","片段4：你坦白说“对不起，我觉得很眼熟，但一下想不起在哪里见过”，等待对方补充。请呈现说完道歉后观察对方反应时的表情。","社交型笑｜缓和笑：利用诚实解释和修复轻微失礼，诱发安抚、缓和性的笑。","illustrations/scene_003_unrecognized_acquaintance.png"
"意外遇到认识你、但你认不出的人：请想象你在商场排队买咖啡，一位与你年龄相近的人突然准确叫出你的名字，像老熟人一样向你打招呼。你确定见过对方，却完全想不起姓名和认识的场合。请按顺序代入以下片段。","片段5：对方提醒你们曾在一次短期培训中同组，你终于把人和场景对应起来。请呈现恍然大悟、同时有些不好意思的表情。","羞涩型笑｜释然羞涩笑：利用记忆恢复与先前失认的反差，诱发释然又腼腆的笑。","illustrations/scene_003_unrecognized_acquaintance.png"
"意外遇到认识你、但你认不出的人：请想象你在商场排队买咖啡，一位与你年龄相近的人突然准确叫出你的名字，像老熟人一样向你打招呼。你确定见过对方，却完全想不起姓名和认识的场合。请按顺序代入以下片段。","片段6：分别后你回想刚才一直含糊应对的几分钟，觉得自己有点狼狈。请呈现独自走开时回想这段插曲的表情。","苦涩型笑｜自嘲苦笑：利用社交小失误后的自我评价，诱发轻度自嘲和无奈。","illustrations/scene_003_unrecognized_acquaintance.png"
"收到用心制作的礼物：请想象在一个对你很有纪念意义的日子，一位关系很好的朋友约你见面。她拿出包装精致的小盒子，说为了准备这份礼物，断断续续做了几个星期。请按顺序代入以下片段。","片段1：对方兴致勃勃地讲她怎样想到这个点子、第一次做坏了哪里、后来又怎样重新来过。请呈现你专心听她讲制作过程时的表情。","温柔型笑｜关怀暖笑：利用对方投入的讲述和关系亲近感，诱发柔和、专注的笑。","illustrations/scene_004_handmade_gift.png"
"收到用心制作的礼物：请想象在一个对你很有纪念意义的日子，一位关系很好的朋友约你见面。她拿出包装精致的小盒子，说为了准备这份礼物，断断续续做了几个星期。请按顺序代入以下片段。","片段2：对方把礼物递到你手里，一直观察你的反应。你开始慢慢拆开包装，请呈现期待与略微不好意思交织的表情。","羞涩型笑｜腼腆期待笑：利用成为注意中心和即将揭晓的期待，诱发克制的笑。","illustrations/scene_004_handmade_gift.png"
"收到用心制作的礼物：请想象在一个对你很有纪念意义的日子，一位关系很好的朋友约你见面。她拿出包装精致的小盒子，说为了准备这份礼物，断断续续做了几个星期。请按顺序代入以下片段。","片段3：你发现礼物正是自己很久以前说过很想要、却已经忘记提过的东西，而且对方亲手把它做了出来。请呈现认出礼物用途的瞬间表情。","愉悦型笑｜惊喜笑：利用愿望被记住并意外实现，诱发明显的惊喜愉悦。","illustrations/scene_004_handmade_gift.png"
"收到用心制作的礼物：请想象在一个对你很有纪念意义的日子，一位关系很好的朋友约你见面。她拿出包装精致的小盒子，说为了准备这份礼物，断断续续做了几个星期。请按顺序代入以下片段。","片段4：你仔细看见礼物上还有只有你们两个人懂的细节，意识到对方确实花了很多心思。请呈现你抬头看向她时的表情。","温柔型笑｜感动甜笑：利用共享记忆被嵌入礼物，诱发亲近、感动的笑。","illustrations/scene_004_handmade_gift.png"
"收到用心制作的礼物：请想象在一个对你很有纪念意义的日子，一位关系很好的朋友约你见面。她拿出包装精致的小盒子，说为了准备这份礼物，断断续续做了几个星期。请按顺序代入以下片段。","片段5：对方小心地问“是不是和你想象的不太一样”，语气里带着一点担心。请呈现你立刻想让她放心、又不知道先说什么时的表情。","羞涩型笑｜抿嘴笑：利用强烈感谢难以立即语言化，诱发抿嘴、短暂回避的笑。","illustrations/scene_004_handmade_gift.png"
"收到用心制作的礼物：请想象在一个对你很有纪念意义的日子，一位关系很好的朋友约你见面。她拿出包装精致的小盒子，说为了准备这份礼物，断断续续做了几个星期。请按顺序代入以下片段。","片段6：你把礼物拿在手里反复看，对方终于放松下来，开始笑自己制作时的笨拙。请呈现你们一起回顾这份礼物时的表情。","愉悦型笑｜满足笑：利用惊喜落定与共同分享，诱发稳定、满足的笑。","illustrations/scene_004_handmade_gift.png"
"工作中被褒奖：请想象周一的部门例会上，大家正在复盘上周一次临时故障。你原本只准备汇报进度，主管却在所有同事面前点名说明，是你及时发现了关键问题，并称赞你的处理很稳妥。请按顺序代入以下片段。","片段1：主管突然念到你的名字，几位同事同时转头看你；你还没确定接下来是表扬还是提问。请呈现刚成为注意焦点时的表情。","羞涩型笑｜紧张克制笑：利用公开注意和结果未明，诱发短促、克制的笑。","illustrations/scene_005_work_praise.png"
"工作中被褒奖：请想象周一的部门例会上，大家正在复盘上周一次临时故障。你原本只准备汇报进度，主管却在所有同事面前点名说明，是你及时发现了关键问题，并称赞你的处理很稳妥。请按顺序代入以下片段。","片段2：主管明确说“这次多亏你提前发现”，并请大家以后参考你的处理方式。请呈现确认自己受到表扬时的表情。","愉悦型笑｜成就微笑：利用努力被公开认可，诱发自然的满足笑。","illustrations/scene_005_work_praise.png"
"工作中被褒奖：请想象周一的部门例会上，大家正在复盘上周一次临时故障。你原本只准备汇报进度，主管却在所有同事面前点名说明，是你及时发现了关键问题，并称赞你的处理很稳妥。请按顺序代入以下片段。","片段3：同事们鼓掌，你需要简短回应，并说明这是团队共同完成的。请呈现你边回应边看向同事时的表情。","社交型笑｜谦逊礼貌笑：利用公开回应和分享功劳的规范，诱发受控、友好的笑。","illustrations/scene_005_work_praise.png"
"工作中被褒奖：请想象周一的部门例会上，大家正在复盘上周一次临时故障。你原本只准备汇报进度，主管却在所有同事面前点名说明，是你及时发现了关键问题，并称赞你的处理很稳妥。请按顺序代入以下片段。","片段4：主管问你能否把经验整理成模板，今后让其他人使用。请呈现你意识到自己的做法真正被认可时的表情。","愉悦型笑｜自豪满足笑：利用能力被确认并产生持续价值，诱发自豪而不过分夸张的笑。","illustrations/scene_005_work_praise.png"
