"情景","问题","目的","配图"
"久しぶりに親友と再会する場面：平日の夕方、荷物を引いて駅を出ようとしていると、混雑した人の中から突然、子どもの頃のあだ名で呼ばれたと想像してください。振り返ると、何年も会っていなかった、かつてとても親しかった友人がいます。二人とも、相手がそこにいるとは知りませんでした。以下の場面に順番に入り込んでください。","セグメント1：まだ状況を理解しきれないまま振り返ると、友人はすでにあなたに気づき、笑顔で足早に近づいてきます。戸惑いから友人だと確信するまでの表情を見せてください。","喜びの笑顔｜驚きの笑顔：予期しない相手の認識と嬉しい再会によって、短時間で自然に生じる喜びの表情を引き出します。","illustrations/scene_001_reunion.png"
"久しぶりに親友と再会する場面：平日の夕方、荷物を引いて駅を出ようとしていると、混雑した人の中から突然、子どもの頃のあだ名で呼ばれたと想像してください。振り返ると、何年も会っていなかった、かつてとても親しかった友人がいます。二人とも、相手がそこにいるとは知りませんでした。以下の場面に順番に入り込んでください。","セグメント2：友人は目の前で立ち止まり、「本当にあなたなんだ。久しぶり」と言って、自然に両腕を広げます。再会に応えるときの表情を見せてください。","喜びの笑顔｜晴れやかな笑顔：長い別離の後に歓迎される感覚によって、はっきりと開かれた喜びの表情を引き出します。","illustrations/scene_001_reunion.png"
"久しぶりに親友と再会する場面：平日の夕方、荷物を引いて駅を出ようとしていると、混雑した人の中から突然、子どもの頃のあだ名で呼ばれたと想像してください。振り返ると、何年も会っていなかった、かつてとても親しかった友人がいます。二人とも、相手がそこにいるとは知りませんでした。以下の場面に順番に入り込んでください。","セグメント3：駅の外へ歩きながら、お互いに変わったところを確かめます。友人は、あなたの話し方の癖が少しも変わっていないと言います。それを聞いたときの表情を見せてください。","優しい笑顔｜親しみのある温かな笑顔：懐かしい細部を覚えていてもらうことで、親近感を伴う温かな笑顔を引き出します。","illustrations/scene_001_reunion.png"
"久しぶりに親友と再会する場面：平日の夕方、荷物を引いて駅を出ようとしていると、混雑した人の中から突然、子どもの頃のあだ名で呼ばれたと想像してください。振り返ると、何年も会っていなかった、かつてとても親しかった友人がいます。二人とも、相手がそこにいるとは知りませんでした。以下の場面に順番に入り込んでください。","セグメント4：友人は学生時代に一緒にしたおかしなことを話題にし、当時のあなたの様子をまねします。記憶がよみがえったときの表情を見せてください。","喜びの笑顔｜朗らかな笑顔：共有する思い出とその場での物まねによって、大きく表れる共有の笑顔を引き出します。","illustrations/scene_001_reunion.png"
"久しぶりに親友と再会する場面：平日の夕方、荷物を引いて駅を出ようとしていると、混雑した人の中から突然、子どもの頃のあだ名で呼ばれたと想像してください。振り返ると、何年も会っていなかった、かつてとても親しかった友人がいます。二人とも、相手がそこにいるとは知りませんでした。以下の場面に順番に入り込んでください。","セグメント5：友人は真剣に、引っ越したときに一番離れがたかったのはあなただったが、ずっと連絡する勇気が出なかったと言います。それを聞いたときの表情を見せてください。","優しい笑顔｜感動した笑顔：遅れて伝えられた誠実な気持ちによって、感動を伴う柔らかな笑顔を引き出します。","illustrations/scene_001_reunion.png"
"久しぶりに親友と再会する場面：平日の夕方、荷物を引いて駅を出ようとしていると、混雑した人の中から突然、子どもの頃のあだ名で呼ばれたと想像してください。振り返ると、何年も会っていなかった、かつてとても親しかった友人がいます。二人とも、相手がそこにいるとは知りませんでした。以下の場面に順番に入り込んでください。","セグメント6：友人はあなたがずっと見ていることに気づき、「どうしたの。何年も会っていないから、もう分からなくなった？」と冗談めかして言います。気づかれて一瞬視線をそらすときの表情を見せてください。","はにかみ笑い｜照れ笑い：視線に気づかれ、好意的にからかわれることで、視線をそらす控えめな笑顔を引き出します。","illustrations/scene_001_reunion.png"
"久しぶりに親友と再会する場面：平日の夕方、荷物を引いて駅を出ようとしていると、混雑した人の中から突然、子どもの頃のあだ名で呼ばれたと想像してください。振り返ると、何年も会っていなかった、かつてとても親しかった友人がいます。二人とも、相手がそこにいるとは知りませんでした。以下の場面に順番に入り込んでください。","セグメント7：別れる前、友人は今夜どこかでゆっくり話そうと提案し、楽しそうに共通の友人へ連絡し始めます。再会がまだ続くと分かったときの表情を見せてください。","喜びの笑顔｜期待の笑顔：楽しい時間がこの先も続くという期待によって、軽やかで持続する笑顔を引き出します。","illustrations/scene_001_reunion.png"
"久しぶりの親友と食事をする場面：かつてとても親しかったものの、仕事や距離のため最近はほとんど会えない友人と、静かな飲食店で食事をしていると想像してください。最初は少しよそよそしいものの、会話は徐々に以前の親しい調子へ戻っていきます。以下の場面に順番に入り込んでください。","セグメント1：学生時代に一緒にしたおかしなことを話し始めます。友人があなたもほとんど忘れていた細部を付け加え、二人の会話はどんどん盛り上がります。思い出しながら相手の話を聞くときの表情を見せてください。","喜びの笑顔｜心からの笑顔：面白い共通の思い出と活発なやり取りによって、自然で共有された笑顔を引き出します。","illustrations/scene_002_old_friend_dinner.png"
"久しぶりの親友と食事をする場面：かつてとても親しかったものの、仕事や距離のため最近はほとんど会えない友人と、静かな飲食店で食事をしていると想像してください。最初は少しよそよそしいものの、会話は徐々に以前の親しい調子へ戻っていきます。以下の場面に順番に入り込んでください。","セグメント2：話題が近況に移ります。最近の仕事で何度も起こり、自分ではまだ解決できない問題について話します。「毎日対処しているのに、まだ同じ場所にいるような気がする」と言うとき、無力感から思わず浮かぶ笑顔を見せてください。","苦笑｜やるせない苦笑：努力を続けても状況を制御できないという葛藤によって、疲れを伴う苦笑を引き出します。","illustrations/scene_002_old_friend_dinner.png"
"久しぶりの親友と食事をする場面：かつてとても親しかったものの、仕事や距離のため最近はほとんど会えない友人と、静かな飲食店で食事をしていると想像してください。最初は少しよそよそしいものの、会話は徐々に以前の親しい調子へ戻っていきます。以下の場面に順番に入り込んでください。","セグメント3：友人が自分の近況を話し始めます。特別に面白い内容ではありませんが、相手は夢中で話し続け、ときどきあなたが聞いているか確かめるように見ます。親しい聞き手として応じるときの表情を見せてください。","社交的な笑顔｜聞き手としての微笑み：相手の話を聞き、やり取りを保つ必要によって、穏やかで協調的な笑顔を引き出します。","illustrations/scene_002_old_friend_dinner.png"
