情景,片段序号,说明,发言,目的,配图
"Reuniting with a close friend after a long separation: Imagine leaving a station with your luggage on a weekday evening. In the crowd, you suddenly hear someone call you by a childhood nickname. You turn around and see a once-close friend whom you have not met for years. Neither of you expected the other to be there. Respond naturally to each instruction and utterance that follows.",1,You have just turned around and still have not fully recognized the person. They are already walking quickly toward you.,"Oh, it really is you! I was worried for a moment that I had the wrong person.","Joyful smile｜Surprised smile: Unexpected recognition and a positive reunion are intended to evoke a brief, rapidly emerging expression of genuine pleasure.",illustrations/scene_001_reunion.png
"Reuniting with a close friend after a long separation: Imagine leaving a station with your luggage on a weekday evening. In the crowd, you suddenly hear someone call you by a childhood nickname. You turn around and see a once-close friend whom you have not met for years. Neither of you expected the other to be there. Respond naturally to each instruction and utterance that follows.",2,"Your friend stops in front of you and opens their arms naturally, ready to greet you properly.",It really is you. It's been so long! I've wondered all these years how you were doing.,"Joyful smile｜Open, delighted smile: Feeling welcomed after a long separation is intended to evoke a clear, open expression of happiness.",illustrations/scene_001_reunion.png
"Reuniting with a close friend after a long separation: Imagine leaving a station with your luggage on a weekday evening. In the crowd, you suddenly hear someone call you by a childhood nickname. You turn around and see a once-close friend whom you have not met for years. Neither of you expected the other to be there. Respond naturally to each instruction and utterance that follows.",3,You walk toward the station exit together. Your friend notices a familiar gesture you make while speaking.,You haven't changed. You still make that little gesture when you talk.,"Gentle smile｜Warm, familiar smile: Being remembered through a familiar detail is intended to evoke a warm smile that conveys closeness.",illustrations/scene_001_reunion.png
"Reuniting with a close friend after a long separation: Imagine leaving a station with your luggage on a weekday evening. In the crowd, you suddenly hear someone call you by a childhood nickname. You turn around and see a once-close friend whom you have not met for years. Neither of you expected the other to be there. Respond naturally to each instruction and utterance that follows.",4,"While talking about your school days, your friend suddenly remembers something foolish the two of you once did together.",Do you remember the time we hid from the rain together in that broken phone booth?,Joyful smile｜Hearty smile: A shared memory and a live imitation are intended to evoke a broad smile shared with the other person.,illustrations/scene_001_reunion.png
"Reuniting with a close friend after a long separation: Imagine leaving a station with your luggage on a weekday evening. In the crowd, you suddenly hear someone call you by a childhood nickname. You turn around and see a once-close friend whom you have not met for years. Neither of you expected the other to be there. Respond naturally to each instruction and utterance that follows.",5,Your friend falls silent for a moment. Their tone becomes serious as they talk about how they felt after moving away.,"Honestly, the hardest part of moving away was leaving you. I just never had the courage to contact you again.","Gentle smile｜Touched smile: A long-delayed expression of sincerity is intended to evoke a soft, emotionally moved smile.",illustrations/scene_001_reunion.png
"Reuniting with a close friend after a long separation: Imagine leaving a station with your luggage on a weekday evening. In the crowd, you suddenly hear someone call you by a childhood nickname. You turn around and see a once-close friend whom you have not met for years. Neither of you expected the other to be there. Respond naturally to each instruction and utterance that follows.",6,Your friend notices that you have been looking closely at them after so many years and teases you.,Why do you keep looking at me? Has it been so long that you really don't recognize me anymore?,Shy smile｜Bashful smile: Having one’s gaze noticed and being teased kindly are intended to evoke a restrained smile with gaze aversion.,illustrations/scene_001_reunion.png
"Reuniting with a close friend after a long separation: Imagine leaving a station with your luggage on a weekday evening. In the crowd, you suddenly hear someone call you by a childhood nickname. You turn around and see a once-close friend whom you have not met for years. Neither of you expected the other to be there. Respond naturally to each instruction and utterance that follows.",7,"At the station exit, your friend takes out their phone and gets ready to contact the friends you used to share.","Don't leave yet. Let's find somewhere to talk tonight, and I'll see if I can get the old group together too.","Joyful smile｜Anticipatory smile: The prospect of extending a happy encounter is intended to evoke a light, sustained smile of anticipation.",illustrations/scene_001_reunion.png
"Dinner with a close friend you have not seen for a long time: Imagine meeting at a quiet casual restaurant with a friend who was once very close to you but whom work and distance have kept you from seeing. The conversation is slightly awkward at first, then gradually returns to its familiar rhythm. Respond naturally to each instruction and utterance that follows.",1,You are talking about foolish things you did together as students. Your friend remembers a detail you had almost forgotten.,"You really don't remember? You confidently said the teacher would never find out, and then you were the first person they called in.",Joyful smile｜Genuine smile: A funny shared memory and lively reciprocal conversation are intended to evoke a natural smile of shared enjoyment.,illustrations/scene_002_old_friend_dinner.png
"Dinner with a close friend you have not seen for a long time: Imagine meeting at a quiet casual restaurant with a friend who was once very close to you but whom work and distance have kept you from seeing. The conversation is slightly awkward at first, then gradually returns to its familiar rhythm. Respond naturally to each instruction and utterance that follows.",2,The conversation turns to your work. Your friend knows that you have been dealing with the same recurring problem for a long time.,Have you been dealing with this for a long time? It sounds like you work on it every day but still end up in the same place.,"Bittersweet smile｜Resigned smile: The conflict between sustained effort and a lack of control is intended to evoke a tired, helpless smile.",illustrations/scene_002_old_friend_dinner.png
"Dinner with a close friend you have not seen for a long time: Imagine meeting at a quiet casual restaurant with a friend who was once very close to you but whom work and distance have kept you from seeing. The conversation is slightly awkward at first, then gradually returns to its familiar rhythm. Respond naturally to each instruction and utterance that follows.",3,"Your friend begins talking about their recent life. It is not particularly funny, but they are deeply engaged and keep checking that you are listening.","I've been dealing with the same project every day. The details are pretty mundane, but I still want to tell you the whole story.","Social smile｜Supportive social smile: Listening attentively and maintaining the interaction are intended to evoke a mild, accommodating smile.",illustrations/scene_002_old_friend_dinner.png
"Dinner with a close friend you have not seen for a long time: Imagine meeting at a quiet casual restaurant with a friend who was once very close to you but whom work and distance have kept you from seeing. The conversation is slightly awkward at first, then gradually returns to its familiar rhythm. Respond naturally to each instruction and utterance that follows.",4,You stop deliberately at the most important part of a funny story about a mutual friend.,And then what happened? You can't stop there. Tell me how it ended.,"Sly smile｜Knowing, playful smile: Knowing the ending while withholding it is intended to evoke a playful smile that builds suspense.",illustrations/scene_002_old_friend_dinner.png
