情景,片段序号,说明,发言,目的,配图
和久违的好朋友重逢：请想象一个工作日傍晚，你拖着行李走出车站，在拥挤的人群里突然听见有人叫你小时候的昵称。你回头发现是多年没有见、过去关系很好的朋友。你们事先都不知道对方会出现在这里。请根据接下来出现的说明和发言，做出你当下自然的表情回应。,1,你刚回过头，还没有完全确认对方是谁。对方已经快步走到你面前。,啊，真的是你！我刚才还担心自己认错了。,愉悦型笑｜惊喜笑：利用意外识别与积极重逢，诱发短暂、迅速出现的真实愉悦。,illustrations/scene_001_reunion.png
和久违的好朋友重逢：请想象一个工作日傍晚，你拖着行李走出车站，在拥挤的人群里突然听见有人叫你小时候的昵称。你回头发现是多年没有见、过去关系很好的朋友。你们事先都不知道对方会出现在这里。请根据接下来出现的说明和发言，做出你当下自然的表情回应。,2,对方站到你面前，自然地张开双臂，准备和你正式打招呼。,真的是你，好久不见！这些年我一直想知道你过得怎么样。,愉悦型笑｜开怀笑：利用被欢迎感和长期分离后的重逢，诱发开放、明显的笑。,illustrations/scene_001_reunion.png
和久违的好朋友重逢：请想象一个工作日傍晚，你拖着行李走出车站，在拥挤的人群里突然听见有人叫你小时候的昵称。你回头发现是多年没有见、过去关系很好的朋友。你们事先都不知道对方会出现在这里。请根据接下来出现的说明和发言，做出你当下自然的表情回应。,3,你们一起向车站外走。对方注意到你说话时一个熟悉的小动作。,你还是老样子，说话的时候那个小动作一点都没变。,温柔型笑｜亲近暖笑：利用熟悉细节被记住，诱发带亲近感的温暖笑容。,illustrations/scene_001_reunion.png
和久违的好朋友重逢：请想象一个工作日傍晚，你拖着行李走出车站，在拥挤的人群里突然听见有人叫你小时候的昵称。你回头发现是多年没有见、过去关系很好的朋友。你们事先都不知道对方会出现在这里。请根据接下来出现的说明和发言，做出你当下自然的表情回应。,4,聊到学生时代，对方突然想起一件你们共同做过的傻事。,你还记得那次我们为了躲雨，两个人挤在那个坏掉的电话亭里吗？,愉悦型笑｜爽朗笑：利用共同回忆和现场模仿，诱发幅度较大的共享笑。,illustrations/scene_001_reunion.png
和久违的好朋友重逢：请想象一个工作日傍晚，你拖着行李走出车站，在拥挤的人群里突然听见有人叫你小时候的昵称。你回头发现是多年没有见、过去关系很好的朋友。你们事先都不知道对方会出现在这里。请根据接下来出现的说明和发言，做出你当下自然的表情回应。,5,对方沉默片刻，语气变得认真，提起当年搬走以后的感受。,其实我搬走以后最舍不得的就是你，只是后来一直没好意思联系你。,温柔型笑｜感动暖笑：利用迟来的真诚表达，诱发感动、柔和的笑。,illustrations/scene_001_reunion.png
和久违的好朋友重逢：请想象一个工作日傍晚，你拖着行李走出车站，在拥挤的人群里突然听见有人叫你小时候的昵称。你回头发现是多年没有见、过去关系很好的朋友。你们事先都不知道对方会出现在这里。请根据接下来出现的说明和发言，做出你当下自然的表情回应。,6,对方发现你一直在观察多年未见的自己，于是半开玩笑地看着你。,怎么一直看着我，几年没见，你真的认不出我了吗？,羞涩型笑｜腼腆笑：利用目光被察觉和善意打趣，诱发回避目光、略克制的笑。,illustrations/scene_001_reunion.png
和久违的好朋友重逢：请想象一个工作日傍晚，你拖着行李走出车站，在拥挤的人群里突然听见有人叫你小时候的昵称。你回头发现是多年没有见、过去关系很好的朋友。你们事先都不知道对方会出现在这里。请根据接下来出现的说明和发言，做出你当下自然的表情回应。,7,走到车站出口时，对方拿出手机，准备联系以前的共同朋友。,今晚别急着走，我们找个地方好好聊聊，我再把以前那几个人也叫上。,愉悦型笑｜期待笑：利用快乐活动即将延续，诱发轻快、持续的期待笑。,illustrations/scene_001_reunion.png
和久违的好友聚餐：请想象你与一位曾经非常亲近、现在因工作和距离很少见面的好友在安静的小餐馆吃饭。最初略有生疏，但聊天慢慢回到过去熟悉的节奏。请根据接下来出现的说明和发言，做出你当下自然的表情回应。,1,你们聊起学生时代共同做过的傻事，对方想起一个你几乎忘记的细节。,你忘了吗？当时你还一本正经地说绝对不会被老师发现，结果第一个被叫走的就是你。,愉悦型笑｜真心笑：利用共同的有趣记忆与同步交流，诱发自然、共享的笑。,illustrations/scene_002_old_friend_dinner.png
和久违的好友聚餐：请想象你与一位曾经非常亲近、现在因工作和距离很少见面的好友在安静的小餐馆吃饭。最初略有生疏，但聊天慢慢回到过去熟悉的节奏。请根据接下来出现的说明和发言，做出你当下自然的表情回应。,2,话题转到你的工作近况。好友知道你最近一直在处理一个反复出现的问题。,你是不是已经为这件事忙了很久？听起来每天都在处理，却还是像在原地踏步。,苦涩型笑｜无奈苦笑：利用长期努力与缺乏控制感的冲突，诱发带疲惫的苦笑。,illustrations/scene_002_old_friend_dinner.png
和久违的好友聚餐：请想象你与一位曾经非常亲近、现在因工作和距离很少见面的好友在安静的小餐馆吃饭。最初略有生疏，但聊天慢慢回到过去熟悉的节奏。请根据接下来出现的说明和发言，做出你当下自然的表情回应。,3,好友开始讲自己的近况，内容并不特别好笑，但他说得很投入，并不时确认你在听。,我最近每天都在和同一个项目打交道，事情特别琐碎，不过我还是想从头讲给你听。,社交型笑｜陪伴式礼貌笑：利用倾听和维持互动的需要，诱发温和、配合性的笑。,illustrations/scene_002_old_friend_dinner.png
